location,lat,long
"Columbus, OH",39.9831298,-83.1312552
"Denver, CO",39.7645183,-104.9955377
"Atlanta, GA",33.7678357,-84.4908154
"Baltimore, MD",39.2848182,-76.6907081
"Tucson, AZ",32.1561231,-111.0242319
"Syracuse, NY",43.0352913,-76.1743852
"Lincoln, NE",40.8007177,-96.7609396
"Charleston, SC",32.8212555,-80.1109048
"Casper, WY",42.8217072,-106.3950908
"Nashville, TN",36.1868356,-86.9256706
"Chicago, IL",41.8339032,-87.8723886
"Minneapolis, MN",44.9707969,-93.3316894
"San Francisco, CA",37.7577627,-122.4727051
"Raleigh, NC",35.8438867,-78.715267
"Washington, DC",38.8883235,-77.0765722
"New York, NY",40.6976633,-74.1201058
"Boston, MA",42.3144555,-71.0404949
